Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	blank node <37a7a45fcf5e670ce1d26eb31d421198>	dc11:description		
ERROR	missing_ontology_license	blank node <37a7a45fcf5e670ce1d26eb31d421198>	dc:license		
ERROR	missing_ontology_title	blank node <37a7a45fcf5e670ce1d26eb31d421198>	dc11:title		
