Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	fbbi.owl	dc11:description		
ERROR	missing_ontology_license	fbbi.owl	dc:license		
ERROR	missing_ontology_title	fbbi.owl	dc11:title		
