Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	blank node <80cd255961431ead96793819f2d2a52d>	dc11:description		
ERROR	missing_ontology_license	blank node <80cd255961431ead96793819f2d2a52d>	dc:license		
ERROR	missing_ontology_title	blank node <80cd255961431ead96793819f2d2a52d>	dc11:title		
